Despesa,Des_Despesa,Fornecedor
PB1267.4,PB1267.4 - Serviços BI Analytics/Planning,Force One
PB1267.2,PB1267.2 - Serviços Data Science,TBD
PB1267.3,PB1267.3 - Suporte e Manutenção de aplicações BI,Core Synesis
PB1267.1,PB1267.1 - Analista de BI Cognos Qlikview,Force One
PB1268.2,PB1268.2 - GESTIONE BI,FCA Itália
PB1268.3,PB1268.3 - (DWHA) DATAWAREHOUSE AZIENDALE,FCA Itália
PB1268.4,PB1268.4 - GESTIONE BI,FCA Itália
PB1268.1,PB1268.1 - (DWHA) DATAWAREHOUSE AZIENDALE,FCA Itália
PB1269.1,PB1269.1 - Manutenção Hardware (p770),IBM
PB1270.1,PB1270.1 - AMS SAP - Extra Plafond,Accenture
PB1271.1,PB1271.1 - Manutenção de Licenças SAP,SAP
PB1272.2,PB1272.2 - AMS SAP - Accenture,Accenture
PB1272.6,PB1272.6 - Serviços SAP - MM / MM-IV,Force One
PB1272.7,PB1272.7 - AMS SAP - Plantões diversos,Accenture
PB1272.9,PB1272.9 - AMS SAP - Accenture - Adicional Revenue Cycle,Accenture
PB1272.10,PB1272.10 - Gestão Mensal do Conector SAP para NFe,Invoiceware Consultoria e Desenvolvimento Ltda.
PB1272.17,PB1272.17 - Serviços SAP - Modulo SD,
PB1273.1,PB1273.1 - Recuperação Custos Iveco,IVECO
PB1274.2,PB1274.2 - SAPiens - AMS FIASA,FCA Itália
PB1274.3,PB1274.3 - INFRASTRUTTURA SAPIENS,FCA Itália
PB1274.4,PB1274.4 - SAP Solution Manager,FCA Itália
PB1274.1,PB1274.1 - INFRASTRUTTURA SAPIENS,FCA Itália
PB1275.2,PB1275.2 - Licenças Microsoft (2017 a 2019),Brasoftware
PB1276.2,PB1276.2 - Field Services,Stefanini
PB1276.3,PB1276.3 - IMAC (Install PC),Stefanini
PB1277.2,PB1277.2 - Service Desk,Stefanini
PB1278.2,PB1278.2 - 132 - EMAIL DIREZIONE SVILUPPI INTERNAZ.,FCA Itália
PB1278.3,PB1278.3 - EUS COMMON SERVICES,FCA Itália
PB1278.4,PB1278.4 - ICT EXECUTIVE SUPPORT,
PB1278.1,PB1278.1 - ICT EXTENDED SUPPORT,FCA Itália
PB1279.10,PB1279.10 - Gestão de Rádio Comunicador,
PB1279.9,PB1279.9 - Gestão VOIP Cisco,
PB1279.2,PB1279.2 - Gestão de Telefonia - Voz e PABX,BT
PB1279.3,PB1279.3 - Serviços de Telecom,Force One
PB1279.4,PB1279.4 - Suporte e Manutenção equipamentos de Telefonia,Unify
PB1279.5,PB1279.5 - Aluguel de PABX Berrini e Louveira,Level 3
PB1279.6,PB1279.6 - Serviços Instalação,Diversos
PB1279.7,PB1279.7 - Gestão Voip Regionais CJDR,
PB1279.8,PB1279.8 - Suporte a Informática (Telecom) 2,Force One
PB1279.1,PB1279.1 - Suporte e Manutenção equipamentos de Telefonia - complementar,Unify
PB1280.2,PB1280.2 - Internet Betim - Upgrade Link para 200Mbps Primário,BT
PB1280.3,PB1280.3 - Link Internet Hortolândia 2x300 Mbps (Rateio FCA),BT
PB1280.4,PB1280.4 - Renovação Anual Domínios Internet,NIC.BR
PB1280.1,PB1280.1 - Internet Betim 200 Mbps - Acesso e Gestão secundário,BT
PB1281.2,PB1281.2 - Telefonia Móvel SG&A,Vivo
PB1281.3,PB1281.3 - Telefonia Fixa SG&A 0800,Diversos
PB1281.4,PB1281.4 - Telefonia Fixa SG&A,Diversos
PB1281.5,PB1281.5 - Minutos para Sala de MEETME SG&A,BT
PB1281.1,PB1281.1 - Ligação telefonica para o suporte AMS SAP HR da Accenture em Bucareste (Romênia),BT
PB1282.2,PB1282.2 - Gestão Mensal Telepresense - TPs e VDCs  - Smartnet,BT
PB1282.3,PB1282.3 - Gestão Mensal Telepresense - TPs e VDCs  - Técnico Residente,BT
PB1282.4,PB1282.4 - Leasing Telepresense,BT
PB1282.1,PB1282.1 - Gestão Modulo de TP para CPE,BT
PB1283.2,PB1283.2 - Links MPLS,BT
PB1283.3,PB1283.3 - Disaster Recovery - Links por Fibra Apagada com DWDM,BT
PB1283.4,PB1283.4 - Link - Funchal Berrini Upgrade,BT
PB1283.5,PB1283.5 - Disaster Recovery - Links L2L Replica Betim Horto,BT
PB1283.6,PB1283.6 - Link - Louveira,BT
PB1283.7,PB1283.7 - Link Pátio Externo Igarapé - Acesso 2 Mbps,BT
PB1283.8,PB1283.8 - Link Banco Fidis - Serviços de dados - regionais,Embratel / GVT / Banco Fidis / OI
PB1283.9,PB1283.9 - Disaster Recovery - Links Tutóia 6 Mbps,BT
PB1283.10,PB1283.10 - Link Mondial 1 Mbps,BT
PB1283.11,PB1283.11 - Links MPLS Warehouse Hortolândia,BT
PB1283.12,PB1283.12 - Link - Cloud Direct Connect,BT
PB1283.1,PB1283.1 - Links MPLS - complementar,BT
PB1286.1,PB1286.1 - AMS GIM,Chrysler
PB1287.2,PB1287.2 - AMS Max Attention,FCA Item
PB1287.3,PB1287.3 - AMS SAP - FCA Item - CDE Finance,FCA Item
PB1287.4,PB1287.4 - SAP Credit Management / SAP Treasury and Risk Mgmt,FCA Item
PB1287.5,PB1287.5 - AMS NWPM,FCA Item
PB1287.6,PB1287.6 - Manutenzione SAP anno 2017  (EX LIC comau) -,FCA Item
PB1287.7,PB1287.7 - AMS Sonar,FCA Item
PB1287.8,PB1287.8 - Manutenzione Licenze SAP,FCA Item
PB1287.1,PB1287.1 - SAP Special User Dealer (800 licenças),FCA Item
PB1289.1,PB1289.1 - Manutenções Evolutivas (Mopar),IBM e Diversos
PB1290.5,PB1290.5 - Manutenção Licenças Siebel - Dealers Argentina,Oracle
PB1290.2,PB1290.2 - Manutenção Licenças Siebel,Oracle
PB1290.4,PB1290.4 - Cisco Webex - assistêntia técnica remota WiTech,Arkadin
PB1291.29,PB1291.29 - AMS Click Mopar,Reply
PB1291.2,PB1291.2 - AMS Siebel,Tata Consultancy
PB1291.3,PB1291.3 - Suporte AMS DWH e BA do CSPS,Accenture
PB1291.4,PB1291.4 - Suporte AMS BPC,Techedge
PB1291.7,PB1291.7 - Contratação AMS local  - Integração Logistica,Force One
PB1291.9,PB1291.9 - AMS INFOTEC,Star Comunicação
PB1291.10,PB1291.10 - AMS 2º Turno - MOPAR,Techedge
PB1292.2,PB1292.2 - SPARE PARTS & REPAIR SERVICES,FCA Itália
PB1292.3,PB1292.3 - (CATALOGHI) CATALOGHI RICAMBI,FCA Itália
PB1292.4,PB1292.4 - ESIGI++ - GESTIONE GARANZIA,FCA Itália
PB1292.5,PB1292.5 - SPARE PARTS & REPAIR SERVICES,FCA Itália
PB1292.1,PB1292.1 - SIGI - SIGI HOST GESTIONE GARANZIA,FCA Itália
PB1294.2,PB1294.2 - HFM - Niagara - Adicional AMS - Central Back office e Infraestrutura,FCA Item
PB1294.3,PB1294.3 - ART&MIS - AR (Account Reconciliation) Blackline,FCA Item
PB1294.4,PB1294.4 - ART&MIS - Manual Journal Entry,FCA Item
PB1294.1,PB1294.1 - Suporte Aplicativo WorkIva,FCA Item
PB1296.2,PB1296.2 - MB-Sharc + ARCO + HATS + W-Hands (Pcte Ergonomia CRF),Centro Ricerche Fiat
PB1296.3,PB1296.3 - PDP - Part Development Plan,Chrysler
PB1296.4,PB1296.4 - SW JACK / VEEP,Centro Ricerche Fiat
PB1296.5,PB1296.5 - GCS - Global Cost System,Chrysler
PB1296.6,PB1296.6 - Manutenção anual software VDI,FCA Item
PB1296.7,PB1296.7 - Ispeed,Chrysler
PB1296.8,PB1296.8 - CRF - SW Veiprod,Centro Ricerche Fiat
PB1296.9,PB1296.9 - Manutenção SW ISOCAD (Engrenagens),Centro Ricerche Fiat
PB1296.1,PB1296.1 - ABITA 2000 (Ergonomia),Centro Ricerche Fiat
PB1298.2,PB1298.2 - [OSS] ITO Servers / Infra OSS - FCA Betim 60%,Chrysler
PB1298.3,PB1298.3 - U-Connect  - Cybersecurity Industrial,Chrysler
PB1298.4,PB1298.4 - [OSS] ICT Governance - FCA Betim 60%,Chrysler
PB1298.5,PB1298.5 - [SPARC] ProcessMap - Running,FCA Item
PB1298.1,PB1298.1 - [SAD] AMS Sistema SAD,FCA Item
PB1300.2,PB1300.2 - Capman,FCA Item
PB1300.1,PB1300.1 - Capman - AMS Parts Sourcing & Capacity Management,FCA Item
PB1301.2,PB1301.2 - GP/Analista de Negócios Business Development,
PB1301.1,PB1301.1 - Manutenção site Portal Inovar Auto,
PB1302.1,PB1352.1 - Global PKI Cybersecurity,Chrysler
PB1304.2,PB1304.2 - Suporte Executivo e Suporte TP (Betim),Stefanini
PB1304.3,"PB1304.3 - Suporte a Eventos, Manutenção de Salas de Reunião, ITSC e Manutenções Gerais",Diversos
PB1304.4,PB1304.4 - Suporte Executivo - Audiovisual,Stefanini
PB1304.5,PB1304.5 - Suporte Executivo (SP),Stefanini
PB1304.1,PB1304.1 - Suporte FCA Educacional,Stefanini
PB1305.2,PB1305.2 - Impressão de Nfe,Lexmark
PB1305.3,PB1305.3 - Impressão de Contra-cheque,Xerox
PB1306.4,PB1306.4 - MDM - Licensing Growth and Support,FCA Item
PB1306.2,PB1306.2 - MDM (Wombat + Airwatch) - Licensing and Support,FCA Item
PB1306.3,PB1306.3 - Manutenção Kontik,FCA Item
PB1306.1,PB1306.1 - Manutenção Minitab,FCA Item
PB1307.12,PB1307.12 - Cabling - Gestão,BT
PB1307.2,PB1307.2 - Gestão de Rede LAN,N&C
PB1307.3,PB1307.3 - Suporte Equipamentos Cisco LAN - Smartnet,IBM
PB1307.4,PB1307.4 - Proximity de LAN,N&C
PB1307.5,PB1307.5 - Gestão LAN DC Hortolândia,IBM
PB1307.7,PB1307.7 - Cabling - Setup,N&C
PB1307.8,PB1307.8 - Gestão de Rede LAN Chrysler,N&C
PB1307.9,PB1307.9 - N&C - Serviço de Transição LAN,N&C
PB1307.10,PB1307.10 - N&C - Gestão de Rede LAN - True up,N&C
PB1307.11,PB1307.11 - Suporte Equipamentos Cisco LAN - Smartnet - complementar,IBM
PB1307.13,PB1350.5 - CFTV Gestão de Câmeras,N&C
PB1307.1,PB1307.1 - Gestão switches-Wifi Rio de Janeiro Adicional,N&C
PB1308.2,PB1308.2 - Gestão Mensal Telepresense - TPs e VDCs - Itália,FCA Item
PB1308.3,PB1308.3 - Global Networking Program,FCA Item
PB1308.1,PB1308.1 - FCMS internet dedicated link,FCA Item
PB1309.2,PB1309.2 - Manutenção Licenças BPC,FCA Item
PB1309.3,PB1309.3 - Manutenção anual software VDI,FCA Item
PB1309.1,PB1309.1 - Manutenzione Licenze Oracle FCA Brasil,FCA Item
PB1310.1,PB1310.1 - Serviços Proximity/Facilities (DC Betim),NPO
PB1311.1,PB1311.1 - Facilities (DC Hortolândia),IBM
PB1312.10,"PB1312.10 - Manutenção HW Power IBM - SAP, SAP DR and TCAE",IBM
PB1312.2,PB1312.2 - Manutenção Storage/Backup EMC,EMC
PB1312.3,PB1312.3 - Manutenção HW RADWARE,IBM
PB1312.4,PB1312.4 - Manutenção HW Servidores HP,HP
PB1312.5,PB1347.2 - Manutenção HW VPN,IBM
PB1312.7,PB1312.7 - Manutenção HW Servidores Esc. Regionais,Lenovo
PB1312.8,PB1312.8 - Manutenção HW Servidores CISCO,IBM
PB1312.9,PB1312.9 - Manutenção HW Pseries SAP e TCAE,IBM
PB1312.1,PB1347.3 - Manutenção HW Proxy,IBM
PB1313.2,PB1313.2 - Manutenção de SW - Microsoft,Brasoftware
PB1313.4,PB1313.4 - Manutençao de SW - VMware,Westcon
PB1313.5,PB1313.5 - Manutenção de SW - Databases and Exalytics - Oracle,Oracle
PB1313.6,PB1313.6 - Manutenção de SW - Linux (redhat),IT-One
PB1313.10,PB1313.10 - Manutenção de SW - WebSphere,IBM
PB1313.11,PB1313.11 - Manutenção de SW - Spazio + Orchestration,Primeur
PB1313.1,PB1349.4 - Manutenção de SW - Internet Proxy,IBM
PB1314.25,PB1314.25 - Suporte API,
PB1314.24,PB1314.24 - Suporte 24x7 Spazio,Primeur
PB1314.23,PB1314.23 - Suporte SAP Basis,Techedge
PB1314.2,PB1314.2 - Gestão ITO IBM GITO,IBM
PB1314.3,PB1314.3 - Gestão ITO IBM Betim - MISA,IBM
PB1314.4,PB1314.4 - Disaster Recovery (Global ITO),IBM
PB1314.5,PB1314.5 - Disaster Recovery (Collocation Ativas),Ativas
PB1314.6,PB1314.6 - Disaster Recovery (Manufacturing ITO),IBM
PB1314.9,PB1314.9 - Ambiente histórico contabil e fiscal,T-Systems
PB1314.12,PB1350.3 - Suporte ITO VPN,IBM
PB1314.13,PB1314.13 - Suporte e manutenção software - CA Workload,Capgemini
PB1314.16,PB1314.16 - Manutenção e Operação do sistema de monitoração de câmeras de segurança,
PB1314.20,PB1314.20 - Suporte e manutenção software - Charon,IBM
PB1314.1,PB1350.4 - Suporte ITO Proxy,IBM
PB1315.2,PB1315.2 - Suporte Técnico  (Suporte Premier + MCS Microsoft e outros),Microsoft
PB1315.1,PB1315.1 - Serviços Instalação Elétrica e Construção,Diversos
PB1316.1,PB1316.1 - Mips IBM (capacidade),IBM
PB1317.2,PB1317.2 - INFRASTRUCTURAL COMMON SERVICES,FCA Itália
PB1317.3,PB1317.3 - 132 - Auth. Services DIREZIONE SVILUPPI INTERNAZ.,FCA Itália
PB1317.4,PB1317.4 - Governane Global ITO,FCA Itália
PB1317.5,"PB1317.5 - Licenses, HW, Management and Governance Infrastructure",FCA Itália
PB1317.6,"PB1317.6 - HW, Management and Governance Network",FCA Itália
PB1317.7,"PB1317.7 - Licenses, HW, Management and Governance Infrastructure",FCA Itália
PB1317.8,PB1317.8 - (ex P11963) INTRANET F.A. SHAREPOINT’,FCA Itália
PB1317.9,PB1317.9 - (H-IBM) SOTTOSIST SUPP HOST IBM ExP10417,FCA Itália
PB1317.1,PB1317.1 - (ex P11963) INTRANET F.A. SHAREPOINT’,FCA Itália
PB1318.2,PB1318.2 - Manutenzione Licenze Oracle FCA Brasil,FCA Item
PB1319.1,PB1319.1 - Manutenção de devices e Hw digital diversos,TBD
PB1320.1,PB1320.1 - Manutenção L3C,Stefanini
PB1321.2,PB1321.2 - Manutenção Licenças SW DevOps,NPO
PB1321.1,PB1321.1 - Manutenção Licenças SW Appcelerator,FourSys
PB1322.15,PB1322.15 - AMS Roadmap Digital,
PB1322.2,PB1322.2 - AMS L3C,Stefanini
PB1322.3,PB1322.3 - On-going projetos estratégicos (Squad Apps),Force One
PB1322.4,PB1322.4 - Amazon AWS - Platform as a Service (Cloud),NPO
PB1322.5,PB1322.5 - Serviços de Integração de Dados,Vetta
PB1322.6,PB1322.6 - Serviços de Automação/IoT,Squadra
PB1322.7,PB1322.7 - AMS Aplicações Digital,Avenue Code
PB1322.8,PB1322.8 - Serviços DevOps,Force One
PB1322.12,PB1322.12 - IBM BlueMix - Platform as a Service (Cloud),TBD
PB1322.16,PB1322.16 - On-going projetos estratégicos (Squad Chatbot),TAKE
PB1323.1,PB1323.1 - Forecast 1+11 - consuntivo,Consuntivo
PB1325.2,PB1325.2 - Impressão de Escritório,Xerox
PB1325.3,PB1325.3 - Impressão de Grandes Formatos,Xerox
PB1326.1,PB1326.1 - Transferência SG&A - Engenharia,
PB1327.1,PB1327.1 - Transferência SG&A - Industrial,
PB1328.2,PB1328.2 - Manutenção de licenças Voip/SIP e ramais (novos colaboradores),Level 3
PB1328.1,PB1328.1 - Manutenção de licenças Voip em Regionais,British Telecom
PB1330.1,PB1330.1 - Leasing de computadores 2017/1,HP Financial
PB1331.2,PB1331.2 - Gestão ITO IBM GITO - Engenharia (Team Center),IBM
PB1331.3,PB1331.3 - Gestão ITO IBM Betim - MISA Engenharia (Storage),IBM
PB1331.4,PB1331.4 - Gestão ITO IBM BT Codep Feeding,IBM
PB1331.1,PB1331.1 - VM MATLAB,IBM
PB1332.2,PB1332.2 - Gestão ITO IBM Betim - MISA Industrial,IBM
PB1332.3,PB1332.3 - [POINT] Gestão Proximity Point,NPO
PB1504.1,PB1504.1 - PRODUCT COSTING AMS FIASA/FAASA,FCA Itália
PB1506.1,PB1506.1 - Manutenções Evolutivas,IBM e Diversos
PB1508.1,PB1508.1 - Pernambuco Comercial AMS,IBM e Diversos
PB1519.1,"PB1519.1 - Despesas Diversas ICT (clima, RH e outros)",
PB1520.1,PB1520.1 - ICT Governance,FCA Participações
PB1525.1,PB1525.1 - Financial Management & Contracts,Stefanini
PB1526.2,PB1526.2 - AMS Drive IT,TCS
PB1526.1,PB1526.1 - Process Management (Demand/Enh/Change/Problem),Force One
PB1528.1,PB1528.1 - [OUTS] Fleet Management - Manufacturing Areas,Stefanini
PB1529.1,PB1529.1 - [OUTS] Thermal Printers - Garantia,HG Code
PB1531.2,PB1531.2 - [LICENSE] Maintenance OSS JDA PE,JDA
PB1531.3,PB1531.3 - [LICENSE] TCM - Team Center,Siemens
PB1531.4,PB1531.4 - [LICENSE] Atualização e Manutenção de Software do seu KEPServerEX,Exta
PB1531.5,PB1531.5 - [LICENSE] QDAS QSTAT - CP/CPK System,QDAS
PB1531.1,PB1531.1 - [LICENSE] Minitab 17 Multiple User Electronic,Minitab
PB1532.10,PB1532.2 - [PLS] NPL MES Extended Support,
PB1532.2,PB1532.2 - [PLS] AMS Produção - on site - Shift,Engineering do Brasil
PB1532.3,PB1532.3 - [AMS] GBA VT/PBS - Second level support 24x7,GBA
PB1532.4,PB1532.4 - [AMS] TCM Metodologia,Stefanini
PB1532.5,PB1532.5 - [AMS] TCM CAX,Stefanini
PB1532.6,PB1532.6 - [AMS] OSS - Local Services,Accenture
PB1532.7,"PB1532.7 - [AMS] Aplicações EHS (SIMCA, ION e SSE)",Diversos
PB1532.8,PB1532.8 - [PLS] WCM Tools - FI/CD - LATAM,Reply
PB1532.9,PB1653.2 - Incremento 3o Turno Goiana,
PB1532.1,PB1532.1 - [PLS] Quality LATAM Systems - NCT/SAD/DUP,Reply
PB1533.2,PB1533.2 - AMS MES NPL,FCA Itália
PB1533.3,PB1533.3 - AMS Licenze Siemens MES NPL(Split tecnico wbs),FCA Itália
PB1533.4,PB1533.4 - APM Services for LATAM,FCA Itália
PB1533.5,PB1533.5 - Internal resources - ASSEMBLY_MFG,FCA Itália
PB1533.6,PB1533.6 - Internal resources - ASSEMBLY_MFG ENG,FCA Itália
PB1533.7,PB1533.7 - Internal resources - INDUSTRY 4.0,FCA Itália
PB1533.8,PB1533.8 - Maintenance and Management MES Siemens,FCA Itália
PB1533.9,PB1533.9 - SGPP- SISTEMA GESTIONE PROD PRESSE (MES),
PB1533.1,PB1533.1 - SGPP- SISTEMA GESTIONE PROD PRESSE (MES),FCA Itália
PB1539.2,PB1539.2 - [AMS] Tools Caliber Management - QDA-9,Asi Datamyte
PB1539.1,PB1539.1 - [AMS] Quality PPR - Plant Process Readiness,Engineering do Brasil
PB1541.1,PB1541.1 - Manutenção de Hardware - Manutenção Codin e Catraca,Head
PB1542.1,PB1542.1 - Manutenção Evolutiva,"IBM, 4Mobile, BHTec, diversos"
PB1543.2,PB1543.2 - Licença de uso VetorH,Sênior
PB1543.1,PB1543.1 - Licença de uso VetorH - complementar,Sênior
PB1544.2,PB1544.2 - Gestão Mensal Suporte do Vetorh,Force One
PB1544.1,PB1544.1 - AMS Transporte de Pessoal,IBM
PB1546.1,PB1546.1 - Manutençao equipamentos OBT,
PB1548.2,PB1548.2 - Click WM AMS - Licenças,Reply
PB1548.1,PB1548.1 - Manutenção SW Engeman,EAM Sistemas
PB1549.2,PB1549.2 - Click WM AMS,Reply
PB1549.3,PB1549.3 - OBT Patio Pernambuco AMS,Reply
PB1549.4,PB1549.4 - OBT Patio Pernambuco - suporte devices e gates rfid AMS,T-Systems
PB1549.5,PB1549.5 - BR_SCM-Roll-out - Comunicação com fornecedor FGCM,Di2S
PB1549.6,PB1549.6 - Click WM Suporte,Reply
PB1549.7,PB1549.7 - Stars and Eleen,TCS
PB1549.8,PB1549.8 - Click T&Tra AMS,Reply
PB1549.9,PB1549.9 - Click WM AMS  - Product update,Reply
PB1549.10,PB1549.10 - SCDM para Inbound - EDI para Inbound Logistica,Di2S
PB1549.11,PB1549.11 - Novas Aplicações IBM - AMS (PAB e Stock Analysis),IBM
PB1549.12,PB1549.12 - OBT Suporte 1º Nivel Brasil (7x24),Reply
PB1549.13,PB1549.13 - Elog CL/CM/JIT/Scheda AMS,IBM
PB1549.1,PB1549.1 - Suporte revisão de processos logísticos,Reply
PB1557.1,PB1557.1 - Manutenções Evolutivas ICT,Diversos
PB1559.2,PB1559.2 - On-going Projetos Estratégicos ICT PE,Diversos
PB1559.1,PB1559.1 - Suporte Técnico Bilingue,Stefanini
PB1566.2,PB1566.2 - Licenças BI - Cognos - Advanced Business Author,IBM
PB1566.1,PB1566.1 - Licenças BI - Qlikview - Named,QlikTech
PB1567.1,PB1567.1 - Brain - Ongoing manutenção aplicações,Tata Consultancy
PB1570.2,"PB1570.2 - SAP - RT -  Projetos, Evolutivas Globais e Kernel",Accenture
PB1570.3,PB1570.3 - SAP - RT -  Manutenção de bibliotecas e automatização,Accenture
PB1570.4,PB1570.4 - SAP - RT -  Manutenções Evolutivas Locais,Accenture
PB1570.1,PB1570.1 - AMS SAP - Extra Plafond,Accenture
PB1572.2,PB1572.2 - AMS SAP - Manutenção corretiva e suporte + Adicional Escopo Área Comercial,Accenture
PB1572.3,PB1572.3 - AMS SAP - Accenture - Adicional AR Full,Accenture
PB1572.4,PB1572.4 - AMS SAP - Plantões diversos,Accenture
PB1572.5,PB1572.5 - SAP - Monitoramento Interfaces (AMS),IBM
PB1572.1,PB1572.1 - AMS SAP - Suporte FCC local,Accenture
PB1575.2,PB1575.2 - Licenças Microsoft (2017 a 2019),Brasoftware
PB1576.2,PB1576.2 - Field Services,Stefanini
PB1576.3,PB1576.3 - Mobile Services,BT
PB1576.1,PB1576.1 - IMAC (Install PC),Stefanini
PB1577.1,PB1577.1 - Service Desk,Stefanini
PB1579.2,PB1579.2 - Técnico Residente BT,BT
PB1579.3,"PB1579.3 - Gestão Telefonia, Cabeamento, Radio, CFTV e TEM",
PB1579.4,PB1579.4 - Manutenções Diversas - Serviços Instalação Elétrica e Construção,
PB1579.1,"PB1579.1 - Central telefônica, aparelhos e interface celular",
PB1581.2,PB1581.2 - Telefonia Móvel SG&A,Vivo
PB1581.3,PB1581.3 - Despesas Telefonia Fixa SG&A,Oi (Telemar)
PB1581.1,PB1581.1 - Despesas Meetme SG&A,BT
PB1582.2,PB1582.2 - Smartnet de Telepresença - TPs e VDCs  - Smartnet,BT
PB1582.3,PB1582.3 - Gestão Mensal Telepresense - TPs e VDCs  - Técnico Residente,BT
PB1583.2,PB1583.2 - WAN - Link Goiana Planta - MPLS,BT
PB1583.1,PB1583.1 - WAN - Link Filial Aço,BT
PB1586.2,PB1586.2 - [AMS] SQP - Supplier Quality Performance System,FGP
PB1586.1,PB1586.1 - [AMS] Quality Issues Management - GIM/IDS/E-CIMS,Chrysler
PB1589.1,PB1589.1 - Manutenções Evolutivas (Custom Shop e Armazém P&A - Jeep/CJDR),"Reply, Accenture, Techedeg, IBM"
PB1590.1,PB1590.1 - Update Licenças Click Spare Parts (Armazens P&A),Reply
PB1591.2,PB1591.2 - Suporte AMS Práticas Mopar,Reply
PB1598.2,PB1598.2 - [OSS] ITO Servers / Infra OSS  - FCA Pernambuco 30%,Chrysler
PB1598.1,PB1598.1 - [OSS] ICT Governance - FCA Pernambuco 30%,Chrysler
PB1604.1,PB1604.1 - ART&MIS - AR (Account Reconciliation) Blackline,FCA Item
PB1605.02,PB1605.2 - Impressão de Contra-cheque,Xerox
PB1605.1,PB1605.1 - Serviço de Impressão Sob Demanda - Nfe,Lexmark
PB1607.2,PB1607.2 - LAN - Manutenção / Suporte - Cisco Smartnet,IBM
PB1607.3,PB1607.3 - N&C - Gestão de Rede LAN,N&C
PB1607.4,PB1607.4 - N&C - Proximity de LAN,N&C
PB1607.5,PB1607.5 - Cabling - Gestão,BT
PB1607.6,PB1607.6 - Cabling - Setup,N&C
PB1607.7,PB1650.2 - CFTV Gestão,N&C
PB1607.1,PB1607.1 - LAN ITO + True-up (complementar),N&C
PB1608.2,PB1608.2 - Gestão Mensal Telepresense - TPs e VDCs - Itália,FCA Item
PB1608.1,PB1608.1 - Gestão Mensal Telepresense - TPs e VDCs - Itália - complementar,FCA Item
PB1612.2,PB1612.2 - Manutenção de HW - Storage e backup,EMC
PB1612.1,PB1612.1 - Manutenção de HW - Servidores HP,HP
PB1613.2,PB1613.2 - Manutenção de SW - Suporte e Subscription (Microsoft),Brasoftware
PB1613.3,PB1613.3 - Manutenção de SW - Suporte e Subscription (RedHat Linux),IT-One
PB1613.4,PB1613.4 - IBM Intelligent Video Analytics Resource,IBM
PB1613.5,PB1613.5 - Manutenção de SW - Suporte e Subscription (IBM),IBM
PB1613.6,PB1613.6 - Manutenção de SW - Suporte e Subscription (Spazio),Primeur
PB1613.7,PB1613.7 - Mantutenção de SW - Suporte e manutenção Stingray (Balanceador de carga),TBD
PB1613.1,PB1613.1 - Manutenção de SW - Suporte e Subscription (VMware),WESTCON
PB1614.2,PB1614.2 - Gestão ITO IBM Pernambuco - MISA G&A,IBM
PB1614.1,PB1650.1 - AMS CFTV,Force One
PB1617.1,PB1617.1 - AMS 24x7 per NPL,FCA Itália
PB1618.1,PB1618.1 - Manutenção de SW - Suporte e Subscription (Oracle),FCA Item
PB1619.2,PB1619.2 - Gestão Facilities - 24x7,NPO
PB1619.1,"PB1619.1 - Manutenção Facilities (UPS, Gerador, Ar Condicionado, etc)",
PB1622.2,PB1622.2 - Suporte Executivo e Suporte TP (Goiana),Stefanini
PB1622.1,"PB1622.1 - Suporte a Eventos, Manutenção de Salas de Reunião, ITSC e Manutenções Gerais",Stefanini/Diversos
PB1623.1,PB1623.1 - Transferência SG&A - Industrial,
PB1625.2,PB1625.2 - Impressão Escritório,Xerox
PB1630.4,PB1630.4 - Leasing de computadores 2018/2,HP Financial
PB1630.3,PB1630.3 - Leasing de computadores 2018/1,HP Financial
PB1630.2,PB1630.2 - Leasing de computadores 2017/2,HP Financial
PB1630.1,PB1630.1 - Leasing de computadores 2017/1,HP Financial
PB1632.1,PB1632.1 - Gestão ITO IBM Pernambuco - MISA Industrial,IBM
PB1716.2,PB1716.2 - ABAQUS,Smarttech
PB1716.3,PB1716.3 - GT-Power,Gamma
PB1716.4,PB1716.4 - INCA,ETAS
PB1716.5,PB1716.5 - MATLAB,Opencadd
PB1716.6,PB1716.6 - Star CCM plus,CD-Adapco
PB1716.7,PB1716.7 - Hyperworks,Altair Engineering
PB1716.8,PB1716.8 - AMLS,CDH AG CAE Services
PB1716.9,PB1716.9 - GT-Power (COMPLEMENTAR),Gamma
PB1716.10,PB1716.10 - ANSA PE,Beta
PB1716.11,PB1716.11 - TEST.LAB PE,Siemens
PB1716.12,PB1716.12 - IBM - Licença DOORS family,IBM
PB1716.13,PB1716.13 - INCA (COMPLEMENTAR) 2,ETAS
PB1716.14,PB1716.14 - ProveTech,MBTech
PB1716.15,PB1716.15 - Hyperworks (COMPLEMENTAR),Altair Engineering
PB1716.16,PB1716.16 - Meta PostProcessor,Smarttech
PB1716.17,PB1716.17 - IBM - Licença Quality Manager Quality Professi,IBM
PB1716.18,PB1716.18 - NASTRAN,MSC Brasil
PB1716.19,PB1716.19 - SIMDrive,Contecs Engineering
PB1716.20,PB1716.20 - IBM - Licença Team Concert Contributor,IBM
PB1716.21,PB1716.21 - PRODIS.MCD,DSA Systems
PB1716.22,PB1716.22 - Reactis,Reactive System
PB1716.23,PB1716.23 - SIMDIFF,ENSOFT
PB1716.24,PB1716.24 - MXAM,MEES
PB1716.25,PB1716.25 - IBM - Licença Rhapsody Design,IBM
