Despesa,Des_Despesa,Fornecedor
PB1216.9,PB1216.9 - Excite,AVL List
PB1216.10,PB1216.10 - Test.Lab,Siemens
PB1216.11,PB1216.11 - SW WEBSPHERE 600 TOKENS / SW DOORS / SW SYNERGY E CHANGE,IBM
PB1216.12,PB1216.12 - SW Madymo,TASS HQ
PB1216.13,PB1216.13 - Manutenção SW Virtual LAB e Tecware,Siemens
PB1216.14,PB1216.14 - Manutenção SW Pulse,Bruel e Kjaer
PB1216.15,PB1216.15 - Manutenção SW Icem Surf,Dassault
PB1216.16,PB1216.16 - Ansa,Smarttech Inc.
PB1216.17,PB1216.17 - SW E3,CIM TEAM
PB1216.18,PB1216.18 - Manutenção SW Aesthetica,Optis
PB1216.19,PB1216.19 - MasterKey Adams 1476 Tokens + Pacote Adams+Nastran,MSC Brasil
PB1216.20,PB1216.20 - Cameo,AVL List
PB1216.21,PB1216.21 - HFSS AnsoftLInks for IGES/STEP e Design,Engineering Simulation
PB1216.22,PB1216.22 - Autoform - Engenharia de Produto,Autoform
PB1216.23,PB1216.23 - SW Kuli,VirtualCAE
PB1216.24,PB1216.24 - nCODE,HBM
PB1216.25,PB1216.25 - Licença A2Mac1,A2MAC1
PB1216.26,PB1216.26 - AUTODESK ALIAS/SHOWCASE/MAYA,Digicade
PB1216.27,PB1216.27 - Altia / Altia Matlab,Altia INC.
PB1216.28,PB1216.28 - ELEMENTS,Engys
PB1216.29,PB1216.29 - Logical Cable,Mentor Graphicsworldwide
PB1216.30,PB1216.30 - VI-GRADE,Vi Grade
PB1216.31,PB1216.31 - Autoform - Engenharia de Custos,Autoform
PB1216.32,PB1216.32 - Flowmaster,Creative
PB1216.33,PB1216.33 - Helical 3D,Advanced
PB1216.34,PB1216.34 - Moldflow,Mapdata
PB1216.35,PB1216.35 - SW Spectrends,Mkspec
PB1216.36,PB1216.36 - Manutenção SW SYMTA,Symtavision
PB1216.37,PB1216.37 - PACOTE ADOBE,Mapdata
PB1216.38,PB1216.38 - Hyperworks e PBS (COMPLEMENTAR),Altair Engineering
PB1216.39,PB1216.39 - VI-GRADE (COMPLEMENTAR),Vi Grade
PB1216.40,PB1216.40 - Star CCM plus (COMPLEMENTAR),CD-Adapco
PB1216.41,PB1216.41 - Forming Suite,Technosim Engenharia
PB1216.42,PB1216.42 - Metapost,Smarttech
PB1216.43,PB1216.43 - Excite (COMPLEMENTAR),AVL List
PB1216.44,PB1216.44 - SIMDrive,Contecs Engineering
PB1216.45,PB1216.45 - SABER SIMULATOR,Synopsys
PB1216.46,PB1216.46 - SW Lucid Shape e Luciddrive,Synopsys
PB1216.47,PB1216.47 - Manutenção SW Icem Surf (COMPLEMENTAR),Dassault
PB1216.48,PB1216.48 - Ansa - 5 meses,Smarttech Inc.
PB1216.49,PB1216.49 - AUTODESK VRED (COMPLEMENTAR),Digicade
PB1216.50,PB1216.50 - Orcad,Edashop INC
PB1216.51,PB1216.51 - Ansa - complementar 2,Smarttech Inc.
PB1216.52,PB1216.52 - SW Sisab (Franco Suiço),Autoneum
PB1216.53,PB1216.53 - MATLAB (COMPLEMENTAR),Opencadd
PB1216.54,PB1216.54 - Ansa - complementar,Smarttech Inc.
PB1216.55,PB1216.55 - LS DYNA,TASS HQ
PB1216.56,PB1216.56 - Autoform - Engenharia de Produto (Complementar),Autoform
PB1216.57,PB1216.57 - MSC ONE (COMPLEMENTAR),Autoform
PB1216.58,PB1216.58 - Ansa - complementar,Smarttech Inc.
PB1216.59,PB1216.59 - Manutenção SW Virtual LAB e Tecware (COMPLEMENTAR),Siemens
PB1216.60,PB1216.60 - MATLAB (COMPLEMENTAR),Opencadd
PB1216.61,PB1216.61 - MasterKey Adams 300 Tokens (COMPLEMENTAR),MSC Brasil
PB1216.62,PB1216.62 - MATLAB (COMPLEMENTAR),Opencadd
PB1216.63,PB1216.63 - SW VA-ONE,ESI Group
PB1216.64,PB1216.64 - Deltagen,Dassault
PB1216.65,PB1216.65 - Manutenção do software Deadline,ThinkBox
PB1216.66,PB1216.66 - Manutenção SW KEYSHOT,Luxion
PB1216.1,PB1216.1 - Polarion,Cairus
PB1217.2,PB1217.2 - Gestão Workstations CAX - Gestão Mensal,Stefanini
PB1217.3,PB1217.3 - Suporte SLM TCAE on site Stefanini,Stefanini
PB1217.4,PB1217.4 - Suporte SLM TCAE (UGS) on site,T-Systems
PB1217.5,PB1217.5 - Gestão de Contratação Externa (GCE),IBM
PB1217.6,PB1217.6 - Gestão do Sistema e-Change ( Parte Engenharia),IBM
PB1217.7,PB1217.7 - Sharepoint - Aplicações Engenharia - Micro-Gestão,IBM
PB1217.8,PB1217.8 - Sharepoint Engenharia - PIM,IBM
PB1217.9,PB1217.9 - Recursos ICT Externos,Stefanini
PB1217.10,PB1217.10 - Sharepoint Engenharia - Study Request,IBM
PB1217.11,PB1217.11 - Gestão Sistemas Spark,
PB1217.12,PB1217.12 - Gestão Sistemas Framework,Framework
PB1217.13,PB1217.13 - Sharepoint Engenharia - Parking,IBM
PB1217.14,PB1217.14 - Sharepoint - Portal da Engenharia,IBM
PB1217.15,PB1217.15 - Gestão Portais Sharepoint (4 portais),IBM
PB1217.1,PB1217.1 - Gestão Dados Experimentação,IBM
PB1218.2,PB1218.2 - Global Back end - SME,FCA Itália
PB1218.3,PB1218.3 - Product Configurator - RTC,FCA Itália
PB1218.4,PB1218.4 - (CODEP) CODEP,FCA Itália
PB1218.5,PB1218.5 - PSI-CATNET,FCA Itália
