"Despesa_Sap","Despesa_Tm1"
"Fev - PB1208.1 - PROV FORCE ONE AMS SALES OPERATIONS","PB1208.52 - AMS SALES OPERATIONS"
"Fev - PB1208.2 - PROV STEFANINI HELP DESK CONCESSIONÁR","PB1208.4 - HELP DESK CONCESSIONÁRIAS"
"Fev - PB1208.3 - PROV BHTEC AMS PORTAL DPR E WCD JAN","PB1208.7 - AMS PORTAL DPR/WCD/SGTR"
"Fev - PB1208.4 - PROV DEALERNET AMS DGR JANEIRO/18","PB1208.47 - AMS DGR"
"Fev - PB1208.5 - PROV BHTEC AMS PORTAL DPR + SGTR JA","PB1208.7 - AMS PORTAL DPR/WCD/SGTR"
"Fev - PB1208.6 - PROV DEALERNET AMS DGR JANEIRO E F","PB1208.47 - AMS DGR"
"Fev - PB1208.7 - PROV FORCE ONE AMS SALES OPERATIONS","PB1208.52 - AMS SALES OPERATIONS"
"Fev - PB1208.8 - PROV JFOX SERVIÇOS DE ARQUITETURA SALES","PB1208.53 - SERVIÇOS DE ARQUITETURA SALESFORCE"
"Fev - PB1208.9 - PROV STEFANINI HELP DESK CONCESSIONÁR","PB1208.4 - HELP DESK CONCESSIONÁRIAS"
"Fev - PB1209.1 - PROV ICT DESP FCA ITA JAN DEZ 2016","PB1209.2 - DB CARE"
"Fev - PB1209.2 - PROV ICT DESP FCA ITA JAN DEZ 2017","PB1209.2 - DB CARE"
"Fev - PB1209.3 - PROV ICT DESP FCA ITA JAN DEZ 2018","PB1209.2 - DB CARE"
"Fev - PB1209.4 - PROV ICT DESP FCA ITA JAN DEZ 2018","PB1209.2 - DB CARE"
"Fev - PB1209.5 - PROV ICT DESP FCA ITA JAN DEZ 2017","PB1209.2 - DB CARE"
"Fev - PB1209.6 - PROV ICT DESP FCA ITA JAN DEZ 2016","PB1209.2 - DB CARE"
"Fev - PB1210.1 - PROV MANUTENÇÕES EVOLUTIVAS COMPRAS","PB1210.1 - Manutenções Evolutivas"
"Fev - PB1210.2 - PROV MANUTENÇÕES EVOLUTIVAS COMPRAS","PB1210.1 - Manutenções Evolutivas"
"Fev - PB1212.1 - PROV TECHEDGE AMS PMRF JANEIRO/18","PB1212.3 - AMS PMRF (REPORTING FINANCE)"
"Fev - PB1212.2 - PROV ACCENTURE ESC COMMON SUPPLIER PO","PB1212.2 - AMS ESC - COMMON SUPPLIERS PORTAL"
"Fev - PB1212.3 - PROV TECHEDGE GESTÃO MENSAL FS3 JAN","PB1212.4 - AMS FS3 SUPPLIERS SENSITIVITY SYSTEM"
"Fev - PB1212.4 - PROV CASA DO SW AMS DW JANEIRO E FE","PB1212.6 - AMS DW - MANUTENÇÃO DE SISTEMAS DE COMPRAS"
"Fev - PB1212.5 - PROV TECHEDGE AMS PMRF REF JANEIRO","PB1212.3 - AMS PMRF (REPORTING FINANCE)"
"Fev - PB1212.6 - PROV TECHEDGE GESTÃO MENSAL FS3 REF","PB1212.4 - AMS FS3 SUPPLIERS SENSITIVITY SYSTEM"
"Fev - PB1213.1 - PROV FGPS SERVIÇO A REGIME","PB1213.1 - AMS FGPS"
"Fev - PB1213.2 - PROV FINANCE SUPPLIERS SENSITIVITY SYSTE","PB1213.4 - P11990 - AMS FINANCE SUPPLIERS SENSITIVITY SYSTEM FS3"
"Fev - PB1213.3 - PROV ESC COMMON SUPPLIERS PORTAL ITO D","PB1213.13 - P12883 - AMS ESC SUPPLIERS PORTAL: SUPPORT "
"Fev - PB1213.4 - PROV FGP REPORTING AND SIMULATION FIASA","PB1213.7 - P11387 - AMS FGP REPORTING AND SIMULATION"
"Fev - PB1213.5 - PROV PLUS MAINTENENCE","PB1213.9 - P16423 - AMS PLUS SUPPORT"
"Fev - PB1213.6 - PROV GP DOCUMENT MANAGEMENT","PB1213.10 - P14383 - AMS GP DOCUMENT MANAGEMENT"
"Fev - PB1213.7 - PROV GLOBAL SOURCING & SOURCE PACKAGE: S","PB1213.2 - P15728 - AMS GST + Commodity Strategy"
"Fev - PB1213.8 - PROV AMS FOR LATAM PURCHASE ORDER ARCHIV","PB1213.14 - P17965 - AMS LATAM PURCHASE ORDER ARCHIVING (DOCMA)"
"Fev - PB1213.9 - PROV ELEARNING TOOL: SUPPORT","PB1213.15 - P18045 - AMS ELEARNING TOOL: SUPPORT"
"Fev - PB1213.10 - PROV GLOBAL CONTRACT MANAGEMENT CONVERGE","PB1213.18 - AMS GLOBAL PBD"
"Fev - PB1213.11 - PROV ECMS 2018 K2 SOFTWARE MAINTENANCE","PB1213.17 - ECMS - 2018 K2 SOFTWARE MAINTENANCE"
"Fev - PB1213.12 - PROV PBD / GLOBAL SCORECARD 2018","PB1213.12 - AMS (Phase I) Global Supplier Scorecard"
"Fev - PB1213.13 - PROV FGPS SERVIÇO A REGIME","PB1213.1 - AMS FGPS"
"Fev - PB1213.14 - PROV FINANCE SUPPLIERS SENSITIVITY SYSTE","PB1213.4 - P11990 - AMS FINANCE SUPPLIERS SENSITIVITY SYSTEM FS3"
"Fev - PB1213.15 - PROV ESC COMMON SUPPLIERS PORTAL ITO D","PB1213.13 - P12883 - AMS ESC SUPPLIERS PORTAL: SUPPORT "
"Fev - PB1213.16 - PROV FGP REPORTING AND SIMULATION FIASA","PB1213.7 - P11387 - AMS FGP REPORTING AND SIMULATION"
"Fev - PB1213.17 - PROV PLUS MAINTENENCE","PB1213.9 - P16423 - AMS PLUS SUPPORT"
"Fev - PB1213.18 - PROV GP DOCUMENT MANAGEMENT","PB1213.10 - P14383 - AMS GP DOCUMENT MANAGEMENT"
"Fev - PB1213.19 - PROV GLOBAL SOURCING & SOURCE PACKAGE: S","PB1213.2 - P15728 - AMS GST + Commodity Strategy"
"Fev - PB1213.20 - PROV AMS FOR LATAM PURCHASE ORDER ARCHIV","PB1213.14 - P17965 - AMS LATAM PURCHASE ORDER ARCHIVING (DOCMA)"
"Fev - PB1213.21 - PROV ELEARNING TOOL: SUPPORT","PB1213.15 - P18045 - AMS ELEARNING TOOL: SUPPORT"
"Fev - PB1213.22 - PROV GLOBAL CONTRACT MANAGEMENT CONVERGE","PB1213.18 - AMS GLOBAL PBD"
"Fev - PB1213.23 - PROV ECMS 2018 K2 SOFTWARE MAINTENANCE","PB1213.17 - ECMS - 2018 K2 SOFTWARE MAINTENANCE"
"Fev - PB1213.24 - PROV PBD / GLOBAL SCORECARD 2018","PB1213.12 - AMS (Phase I) Global Supplier Scorecard"
"Fev - PB1214.1 - PROV NPO GESTÃO DO HPC JANEIRO/18","PB1214.2 - HPC FIASA"
"Fev - PB1214.3 - 0800028968 NPO SISTEMAS DE INFO EM","PB1214.2 - HPC FIASA"
"Fev - PB1214.4 - 0800028968 NPO SISTEMAS DE INFO EM","PB1214.2 - HPC FIASA"
"Fev - PB1215.1 - PROV MANUTENÇÕES EVOLUTIVAS ENGENHARIA","PB1215.1 - MANUTENÇÕES EVOLUTIVAS"
"Fev - PB1215.2 - PROV MANUTENÇÕES EVOLUTIVAS ENGENHARIA","PB1215.1 - MANUTENÇÕES EVOLUTIVAS"
"Fev - PB1216.2 - 0053700028 LICENCAS DE USO SOFTWARE","PB1216.22 - AUTOFORM - ENGENHARIA DE PRODUTO"
"Fev - PB1216.3 - PROV MANUT SW EXCITE 6/12","PB1216.9 - EXCITE"
"Fev - PB1216.4 - PROV MANUTENÇÃO SW HELICAL 3D NOVA A","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.5 - PROV MANUTENÇÃO SW LOGICAL CABLE 6/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.6 - PROV MANUTENÇÃO SW A2MAC1 5/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
"Fev - PB1216.7 - PROV MANUTENÇÃO METAPOST 4/12","PB1216.13 - MANUTENÇÃO SW VIRTUAL LAB E TECWARE"
